timestamp,frequency_hz,magnitude_g,damage_index,estado
2026-05-14T00:56:21.561927,13.477,9.5e-05,0.0,0
2026-05-14T00:56:21.561927,13.672,7.7e-05,0.0,0
2026-05-14T00:56:21.561927,13.867,8.3e-05,0.0,0
2026-05-14T00:56:21.561927,14.062,9.1e-05,0.0,0
2026-05-14T00:56:21.561927,14.258,0.000107,0.0,0
2026-05-14T00:56:21.561927,14.453,6.3e-05,0.0,0
2026-05-14T00:56:21.561927,14.648,0.000105,0.0,0
2026-05-14T00:56:21.561927,14.844,9e-05,0.0,0
2026-05-14T00:56:21.561927,15.039,8e-05,0.0,0
2026-05-14T00:56:21.561927,15.234,8e-05,0.0,0
2026-05-14T00:56:21.561927,15.43,0.0001,0.0,0
2026-05-14T00:56:21.561927,15.625,0.000118,0.0,0
2026-05-14T00:56:21.561927,15.82,0.000105,0.0,0
2026-05-14T00:56:21.561927,16.016,9e-05,0.0,0
2026-05-14T00:56:21.561927,16.211,9.4e-05,0.0,0
2026-05-14T00:56:21.561927,16.406,9.8e-05,0.0,0
2026-05-14T00:56:21.561927,16.602,9.7e-05,0.0,0
2026-05-14T00:56:21.561927,16.797,0.000112,0.0,0
2026-05-14T00:56:21.561927,16.992,0.000131,0.0,0
2026-05-14T00:56:21.561927,17.188,0.000161,0.0,0
2026-05-14T00:56:21.561927,17.383,0.000122,0.0,0
2026-05-14T00:56:21.561927,17.578,0.000111,0.0,0
2026-05-14T00:56:21.561927,17.773,0.000102,0.0,0
2026-05-14T00:56:21.561927,17.969,0.000112,0.0,0
2026-05-14T00:56:21.561927,18.164,0.000115,0.0,0
2026-05-14T00:56:21.561927,18.359,9.6e-05,0.0,0
2026-05-14T00:56:21.561927,18.555,7.9e-05,0.0,0
2026-05-14T00:56:21.561927,18.75,9.6e-05,0.0,0
2026-05-14T00:56:21.561927,18.945,9.3e-05,0.0,0
2026-05-14T00:56:21.561927,19.141,8.4e-05,0.0,0
2026-05-14T00:56:21.561927,19.336,0.000121,0.0,0
2026-05-14T00:56:21.561927,19.531,0.000124,0.0,0
2026-05-14T00:56:21.561927,19.727,0.000126,0.0,0
2026-05-14T00:56:21.561927,19.922,0.000154,0.0,0
